Key_Dataset;Key_Run;Key_Fold;Key_Scheme;Key_Scheme_options;Key_Scheme_version_ID;Date_time;Number_of_training_instances;Number_of_testing_instances;Number_correct;Number_incorrect;Number_unclassified;Percent_correct;Percent_incorrect;Percent_unclassified;Kappa_statistic;Mean_absolute_error;Root_mean_squared_error;Relative_absolute_error;Root_relative_squared_error;SF_prior_entropy;SF_scheme_entropy;SF_entropy_gain;SF_mean_prior_entropy;SF_mean_scheme_entropy;SF_mean_entropy_gain;KB_information;KB_mean_information;KB_relative_information;True_positive_rate;Num_true_positives;False_positive_rate;Num_false_positives;True_negative_rate;Num_true_negatives;False_negative_rate;Num_false_negatives;IR_precision;IR_recall;F_measure;Matthews_correlation;Area_under_ROC;Area_under_PRC;Weighted_avg_true_positive_rate;Weighted_avg_false_positive_rate;Weighted_avg_true_negative_rate;Weighted_avg_false_negative_rate;Weighted_avg_IR_precision;Weighted_avg_IR_recall;Weighted_avg_F_measure;Weighted_avg_matthews_correlation;Weighted_avg_area_under_ROC;Weighted_avg_area_under_PRC;Unweighted_macro_avg_F_measure;Unweighted_micro_avg_F_measure;Elapsed_Time_training;Elapsed_Time_testing;UserCPU_Time_training;UserCPU_Time_testing;UserCPU_Time_millis_training;UserCPU_Time_millis_testing;Serialized_Model_Size;Serialized_Train_Set_Size;Serialized_Test_Set_Size;Coverage_of_Test_Cases_By_Regions;Size_of_Predicted_Regions;Summary;measureExtraArcs;measureMissingArcs;measureReversedArcs;measureDivergence;measureBayesScore;measureBDeuScore;measureMDLScore;measureAICScore;measureEntropyScore
iris;3;1;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.004186708;0.011273206;0.942009387;2.391408186;23.77443751;0.138023778;23.63641373;1.584962501;0.009201585;1.575760916;23.63641373;1.575760916;99.41944461;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;8227;10633;2353;100;33.33333333;?;0;0;0;0;-421.9501969;-468.0908434;-479.0761651;-441.307593;-415.307593
iris;3;2;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.046779516;0.155144127;10.52539115;32.91103936;23.77443751;2.207978346;21.56645917;1.584962501;0.147198556;1.437763944;21.56645917;1.437763944;90.71280511;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0.007;0;0;0;0;0;8164;10633;2353;100;37.77777778;?;0;0;0;0;-390.6485006;-428.1209136;-439.0117545;-405.6010945;-382.6010945
iris;3;3;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.046465742;0.210646967;10.45479204;44.68496967;23.77443751;9.870935491;13.90350202;1.584962501;0.658062366;0.926900135;21.53844114;1.435896076;90.59495574;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;0.953333333;0.91037037;0.932659933;0.933333333;0.001;0;0;0;0;0;8227;10633;2353;93.33333333;33.33333333;?;0;0;0;0;-430.9628582;-475.3400153;-486.5038005;-448.7352284;-422.7352284
iris;3;4;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.033676933;0.15084311;7.577310005;31.99865572;23.77443751;1.873714928;21.90072258;1.584962501;0.124914329;1.460048172;22.02641323;1.468427548;92.64746312;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0.001;0;0;0;0;0;8164;10633;2353;100;35.55555556;?;0;0;0;0;-365.9136185;-403.3860316;-415.5532812;-382.1426213;-359.1426213
iris;3;5;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.084445601;0.280953273;19.00026016;59.59918945;23.77443751;18.44168941;5.332748106;1.584962501;1.22944596;0.35551654;19.5898838;1.305992254;82.39893707;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.904761905;0.866666667;0.861111111;0.821011909;0.933333333;0.883333333;0.861111111;0.866666667;0.001;0;0;0;0;0;8227;10633;2353;93.33333333;35.55555556;?;0;0;0;0;-427.0715373;-471.4486945;-483.2675036;-445.4989315;-419.4989315
iris;3;6;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;15;0;0;100;0;0;1;0.001884268;0.002981733;0.423960222;0.632521171;23.77443751;0.06130971;23.7131278;1.584962501;0.004087314;1.580875187;23.7131278;1.580875187;99.7421192;1;5;0;0;1;10;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0.001;0;0;0;0;0;8103;10633;2353;100;33.33333333;?;0;0;0;0;-321.1383084;-351.7059774;-364.1042961;-335.0515483;-315.0515483
iris;3;7;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.069886667;0.241233709;15.72450001;51.17339749;23.77443751;11.96367246;11.81076505;1.584962501;0.797578164;0.787384337;20.4071695;1.360477967;85.83660283;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.866666667;0.866666667;0.866666667;0.8;0.946666667;0.884444444;0.866666667;0.866666667;0;0;0;0;0;0;8101;10633;2353;93.33333333;35.55555556;?;0;0;0;0;-333.3617515;-363.9294206;-376.0542139;-347.0014661;-327.0014661
iris;3;8;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;13;2;0;86.66666667;13.33333333;0;0.8;0.075448929;0.246488537;16.97600902;52.28811472;23.77443751;5.419926233;18.35451128;1.584962501;0.361328416;1.223634085;19.93679253;1.329119502;83.85810397;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.866666667;0.066666667;0.933333333;0.133333333;0.904761905;0.866666667;0.861111111;0.821011909;1;1;0.861111111;0.866666667;0;0;0;0;0;0;8164;10633;2353;100;37.77777778;?;0;0;0;0;-388.4724312;-425.9448442;-437.1147245;-403.7040646;-380.7040646
iris;3;9;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.040991473;0.185024564;9.223081512;39.2496371;23.77443751;3.091394436;20.68304307;1.584962501;0.206092962;1.378869538;21.72789027;1.448526018;91.39181637;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0;0;0;0;0;0;8227;10633;2353;100;35.55555556;?;0;0;0;0;-418.4062569;-464.5469034;-475.3826142;-437.6140421;-411.6140421
iris;3;10;weka.classifiers.bayes.BayesNet;'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5';7.46037E+17;2.02E+07;135;15;14;1;0;93.33333333;6.666666667;0;0.9;0.040565694;0.179518947;9.127281073;38.08171951;23.77443751;2.832823549;20.94161396;1.584962501;0.188854903;1.396107597;21.74704032;1.449802688;91.47236526;1;5;0;0;1;10;0;0;1;1;1;1;1;1;0.933333333;0.033333333;0.966666667;0.066666667;0.944444444;0.933333333;0.932659933;0.90627609;1;1;0.932659933;0.933333333;0;0;0;0;0;0;8225;10633;2353;100;35.55555556;?;0;0;0;0;-433.6324771;-478.0096342;-488.7844699;-451.0158978;-425.0158978
